ID,Strain,Sex,EXP,Weight Days,Weight Scheme,Max Weight Loss,Max Weight Gain,Average Weight Change
3739,CC032 ,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-25.32751092,15.72052402,0.145560408
3740,CC032 ,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-0.833333333,17.08333333,7.837301587
3452,CC032 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-11.88118812,7.425742574,-2.640264026
3453,CC032 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-10.0877193,17.98245614,2.568922306
3454,CC032 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-14.85943775,7.630522088,-0.17211704
3455,CC032 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-8.045977011,14.94252874,5.692391899
3456,CC032 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-5.747126437,19.92337165,7.863528553
3457,CC032 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-18.12080537,7.382550336,-3.707254714
3458,CC032 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-4.946996466,8.480565371,1.43025408
3831,CC036,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,17.0984456,11.44830989
3832,CC036,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-7.368421053,16.84210526,4.837092732
3505,CC036 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-21.21212121,10.1010101,-5.747955748
3506,CC036 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-15.88785047,5.607476636,-1.468624833
3507,CC036 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-25.2688172,5.376344086,-8.781362007
3508,CC036 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-23.26732673,4.95049505,-4.101838755
3510,CC036 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-12.91512915,8.487084871,-3.953610965
3511,CC036 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-16.98841699,14.28571429,0.349328921
3512,CC036 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-36.47058824,0,-19.7945845
3513,CC036 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-9.090909091,9.090909091,0.959909656
3464,CC037,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-29.74358974,0,-19.16971917
3465,CC037,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-32.57142857,0,-15.6462585
3466,CC037,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-11.5942029,11.11111111,-1.610305958
3467,CC037,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-25.53191489,2.127659574,-11.24620061
3468,CC037,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-33.83838384,5.050505051,-15.1034151
3469,CC037,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-25.30612245,0,-15.51020408
3470,CC037,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-37.08333333,0,-24.71153846
3471,CC037,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-35.31914894,0,-24.59979737
3472,CC037,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-27.53036437,0,-14.30499325
